UID,SCAN,SUBSCAN,START_TIME,END_TIME,FIELD_NAME,INTENT,delta
uid://A002/Xa2300a/Xa8a,7,1,2015-06-04 02:19:39.936000,2015-06-04 02:20:10.176001,Titan,ON_SOURCE,0 days 00:00:30.240001000
uid://A002/Xa2300a/Xa8a,4,10,2015-06-04 02:15:07.248000,2015-06-04 02:15:37.488000,J1550+0527,ON_SOURCE,0 days 00:00:30.240000000
uid://A002/Xa2300a/Xa8a,5,1,2015-06-04 02:16:25.008000,2015-06-04 02:16:35.088000,J1517-2422,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,5,9,2015-06-04 02:17:57.936000,2015-06-04 02:18:08.016001,J1517-2422,ON_SOURCE,0 days 00:00:10.080001000
uid://A002/Xa2300a/Xa8a,12,2,2015-06-04 02:28:34.752000,2015-06-04 02:28:38.592000,Arp220,ON_SOURCE,0 days 00:00:03.840000000
uid://A002/Xa2300a/Xa8a,13,3,2015-06-04 02:30:08.016001,2015-06-04 02:30:38.256000,Arp220,ON_SOURCE,0 days 00:00:30.239999000
uid://A002/Xa2300a/Xa8a,14,1,2015-06-04 02:31:59.136001,2015-06-04 02:32:29.376000,J1516+1932,ON_SOURCE,0 days 00:00:30.239999000
uid://A002/Xa2300a/Xa8a,1,9,2015-06-04 02:06:58.080000,2015-06-04 02:07:08.160000,J1550+0527,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,1,1,2015-06-04 02:05:25.152001,2015-06-04 02:05:35.232001,J1550+0527,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,1,5,2015-06-04 02:06:11.616000,2015-06-04 02:06:21.696000,J1550+0527,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,10,1,2015-06-04 02:26:45.744000,2015-06-04 02:26:49.584001,J1550+0527,OFF_SOURCE,0 days 00:00:03.840001000
uid://A002/Xa2300a/Xa8a,10,2,2015-06-04 02:26:51.600000,2015-06-04 02:26:55.440001,J1550+0527,ON_SOURCE,0 days 00:00:03.840001000
uid://A002/Xa2300a/Xa8a,5,10,2015-06-04 02:18:09.552000,2015-06-04 02:18:19.632000,J1517-2422,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,10,3,2015-06-04 02:26:57.456000,2015-06-04 02:27:01.296000,J1550+0527,ON_SOURCE,0 days 00:00:03.840000000
uid://A002/Xa2300a/Xa8a,4,4,2015-06-04 02:11:56.592000,2015-06-04 02:12:26.832001,J1550+0527,ON_SOURCE,0 days 00:00:30.240001000
uid://A002/Xa2300a/Xa8a,8,7,2015-06-04 02:24:15.264000,2015-06-04 02:24:25.344000,J1516+1932,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,6,2,2015-06-04 02:19:10.224000,2015-06-04 02:19:14.064001,Titan,ON_SOURCE,0 days 00:00:03.840001000
