UID,ANTENNA,ATM_CORR,BB,BAND,CALDATA_ID,REF_ANT,TIME,delay_X,delay_Y,error_X,error_Y
uid://A002/Xa2300a/X25,DV11,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,7.113505617883931e-11,7.560937986816896e-11,1.1086629010670368e-11,1.463859589101446e-11
uid://A002/Xa2300a/X25,DV12,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,-1.2675782732479712e-12,9.444598748908906e-12,9.449781235293386e-12,2.485536429452928e-11
uid://A002/Xa2300a/X25,DV13,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,3.272440998736137e-11,2.9925634886796004e-11,8.995453687488109e-12,1.3723704464507769e-11
uid://A002/Xa2300a/X25,DV14,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,-3.440316434510926e-11,-1.4194913473819515e-11,9.772400770546863e-12,1.9769330270036356e-11
uid://A002/Xa2300a/X25,DV15,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,6.252696277408987e-11,-3.299646667009881e-11,2.035445423320681e-11,1.919528945515392e-11
uid://A002/Xa2300a/X25,DV16,AP_UNCORRECTED,BB_3,ALMA_RB_03,CalData_7,DA42,2015-06-03 23:20:52.128000,1.971327961980407e-11,-7.891103048773829e-11,9.77756330761137e-12,1.6541377642620425e-11
uid://A002/Xa2300a/X113,DA64,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-9.455462671517645e-13,8.454824514114723e-12,2.3132627757771473e-11,1.2025854270736325e-11
uid://A002/Xa2300a/X113,DV01,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-5.318610135640611e-11,-7.80758305229945e-11,1.251205129088051e-11,1.0888355321536647e-11
uid://A002/Xa2300a/X113,DV05,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,3.1674055739339124e-11,-3.6343743986533283e-11,1.8210127850082358e-11,1.9585777444319774e-11
uid://A002/Xa2300a/X113,DV07,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,4.753665863721501e-11,-1.8773635424018664e-11,9.919324042706457e-12,8.365360487649909e-12
uid://A002/Xa2300a/X113,DV10,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-9.149057379753689e-12,-3.866934550345036e-12,1.4644840895527977e-11,1.3844198357149118e-11
uid://A002/Xa2300a/X113,DV11,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,2.5186264532295333e-11,1.5573117448375307e-11,1.1417924765388943e-11,1.467729410231655e-11
uid://A002/Xa2300a/X113,DV12,AP_UNCORRECTED,BB_2,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-4.5601220716173785e-11,-4.157817146133169e-11,1.0540088767052591e-11,2.1798691324237396e-11
uid://A002/Xa2300a/X113,DV23,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_2,DA42,2015-06-03 23:52:19.056000,1.1976353068987589e-11,4.136331208104416e-11,1.717830218350702e-11,1.4386191023174622e-11
uid://A002/Xa2300a/X113,DV24,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_2,DA42,2015-06-03 23:52:19.056000,2.62887385471533e-11,-2.7871394428502505e-11,1.8483437003169456e-11,1.7773260294062787e-11
uid://A002/Xa2300a/X113,DV25,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_2,DA42,2015-06-03 23:52:19.056000,-1.8657552933176724e-11,2.399001570313475e-12,1.5100009784219104e-11,4.119748292508163e-11
uid://A002/Xa2300a/X113,DV14,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-2.999589465702002e-11,-1.0078164865146011e-11,2.066935338163045e-11,1.0897347260674373e-11
uid://A002/Xa2300a/X113,DV15,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,7.414600183830444e-11,-1.082430239190968e-11,1.158509052578971e-11,3.160036121663268e-11
uid://A002/Xa2300a/X113,DV16,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-8.466924383832009e-11,-6.122078538561837e-11,1.7119760470363232e-11,1.4381341603697528e-11
uid://A002/Xa2300a/X113,DV17,AP_UNCORRECTED,BB_4,ALMA_RB_06,CalData_5,DA42,2015-06-03 23:53:56.160000,-1.644151828572582e-11,-8.1372991678208e-11,3.0928423017106965e-11,2.133652456104418e-11
